Nation,Date,Representative,Thumbnail,Designation,Running President/PM,Gist Link,Emotion,State of Affairs
Russia,24-01-2000,Vladimir Putin,Speech at a conference of the heads of republican and regional courts,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/21536,UPSET,OTHERS
USA,09-09-2021 00:00,Joe Biden,Remarks by President Biden on Fighting the COVID-⁠19 Pandemic,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/09/09/remarks-by-president-biden-on-fighting-the-covid-19-pandemic-3/,OPTIMISM,DEVELOPMENT
Russia,24-12-2004,Vladimir Putin,Excerpts from the Opening Speech at a Session of the State Council Devoted to Increasing the Effectiveness of Work of State Power's Bodies,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/22758,NEUTRAL,DEVELOPMENT
USA,14-08-2014,Barack Obama,"
Statement by the President",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2014/08/14/statement-president,NEUTRAL,INTERNATIONAL AFFAIRS
USA,26-03-2021 00:00,Joe Biden,Statement by President Biden on the Attack on the Right to Vote in Georgia,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/03/26/statement-by-president-biden-on-the-attack-on-the-right-to-vote-in-georgia/,UPSET,OTHERS
United Kingdom,05-Jul-20,Boris Johnson,PM words for NHS birthday: 5 July 2020,Prime Minister,Boris Johnson,https://www.gov.uk/government/speeches/pm-words-for-nhs-birthday-5-july-2020,JOY,OTHERS
USA,18-02-2021 00:00,Joe Biden,"Statement by President Joseph R. Biden, Jr. on Introduction of the U.S. Citizenship Act of 2021",President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/02/18/statement-by-president-joseph-r-biden-jr-on-introduction-of-the-u-s-citizenship-act-of-2021/,OPTIMISM,OTHERS
Russia,13-10-2010,Dmitry Medvedev,Opening remarks at meeting on relief and rebuilding work following wildfires,President,Dmitry Medvedev,http://en.kremlin.ru/events/president/transcripts/statements/9232,UPSET,OTHERS
United Kingdom,13-Jul-16,Theresa May,Statement from the new Prime Minister Theresa May,Prime Minister,Theresa May,https://www.gov.uk/government/speeches/statement-from-the-new-prime-minister-theresa-may,OPTIMISM,NATIONALISM
Russia,11-09-2005 00:00,Vladimir Putin,Opening Remarks at a Meeting with the Armed Forces Command Staff,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/23259,JOY,NATIONALISM
USA,07-06-2015,Barack Obama,"
Remarks by the President in Krun, Germany",President,Barack Obama,https://obamawhitehouse.archives.gov/the-press-office/2015/06/07/remarks-president-krun-germany,NEUTRAL,INTERNATIONAL AFFAIRS
China,10-12-2013 00:00,H.E. Wang Yi,Building on Past Achievements to Make New Progress And Shaping the Future Through Asia-Pacific Partnership,State Councilor and Foreign Minister of the People's Republic of China,Xi Jinping,https://www.fmprc.gov.cn/mfa_eng/wjdt_665385/zyjh_665391/t1107984.shtml,JOY,INTERNATIONAL AFFAIRS
USA,02-11-2021 00:00,Joe Biden,Statement of President Joe Biden on Vaccinations for Children Age Five to 11,President,Joe Biden,https://www.whitehouse.gov/briefing-room/statements-releases/2021/11/02/statement-of-president-joe-biden-on-vaccinations-for-children-age-five-to-11/,OPTIMISM,DEVELOPMENT
Russia,28-11-2007,Vladimir Putin,Speech at a Reception for the Heads of Diplomatic Missions,President,Vladimir Putin,http://en.kremlin.ru/events/president/transcripts/statements/24695,NEUTRAL,INTERNATIONAL AFFAIRS
USA,30-04-2021 00:00,Joe Biden,Remarks by President Biden at an Event Marking Amtrak’s 50th Anniversary,President,Joe Biden,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/04/30/remarks-by-president-biden-at-an-event-marking-amtraks-50th-anniversary/,JOY,DEVELOPMENT
